"ulb","applicationnumber","applicationdate","licenseissueddate","status","createddate","lastmodifieddate"
"Cuttack","MR-CTC-2022-01-07-000275","2022-01-07 13:27:10+05:30","2022-01-07 14:22:07+05:30","APPROVED","2022-01-07 13:27:10+05:30","2022-01-07 14:22:07+05:30"
"Patnagarh","MR-PTN-2022-01-07-000277","2022-01-07 15:36:01+05:30","2022-01-19 16:23:49+05:30","APPROVED","2022-01-07 15:36:01+05:30","2022-01-19 16:23:49+05:30"
"Angul","MR-ANG-2022-01-07-000278","2022-01-07 16:33:58+05:30",NULL,"PENDINGSCHEDULE","2022-01-07 16:33:58+05:30","2022-01-07 17:09:03+05:30"
"Rourkela","MR-RRK-2022-01-07-000279","2022-01-07 17:14:06+05:30",NULL,"CITIZENACTIONPENDINGATDOCVERIFICATION","2022-01-07 17:14:06+05:30","2022-01-11 17:56:55+05:30"
"Nabarangpur","MR-NBR-2022-01-07-000280","2022-01-07 17:14:11+05:30","2022-01-08 13:55:13+05:30","APPROVED","2022-01-07 17:14:11+05:30","2022-01-08 13:55:13+05:30"
"Rourkela","MR-RRK-2022-01-08-000289","2022-01-08 19:28:30+05:30","2022-01-18 17:01:00+05:30","APPROVED","2022-01-08 19:28:30+05:30","2022-01-18 17:01:00+05:30"
"Patnagarh","MR-PTN-2022-01-10-000297","2022-01-10 11:23:25+05:30","2022-01-19 16:24:15+05:30","APPROVED","2022-01-10 11:23:25+05:30","2022-01-19 16:24:15+05:30"
"Cuttack","MR-CTC-2022-01-10-000298","2022-01-10 12:29:31+05:30",NULL,"DOCVERIFICATION","2022-01-10 12:29:31+05:30","2022-01-11 14:43:17+05:30"
"Vyasanagar","MR-VSN-2022-01-10-000300","2022-01-10 14:09:07+05:30",NULL,"CITIZENACTIONPENDINGATDOCVERIFICATION","2022-01-10 14:09:07+05:30","2022-01-13 11:13:17+05:30"
"Cuttack","MR-CTC-2022-01-10-000301","2022-01-10 14:21:38+05:30",NULL,"DOCVERIFICATION","2022-01-10 14:21:38+05:30","2022-01-11 23:19:54+05:30"
