"id","accountid","tenantid","mrnumber","applicationnumber","applicationtype","applicationdate","marriagedate","issueddate","action","status","createdby","lastmodifiedby","createdtime","lastmodifiedtime","businessservice","workflowcode"
"93115659-3c27-41eb-aea4-d3d74021d51f","644ac3b5-1e4c-4f63-97df-c8043f4886df","od.cuttack",NULL,"MR-CTC-2022-02-10-000778","NEW",1644470662134,1637864999000,NULL,"SENDBACKTOCITIZEN","CITIZENACTIONPENDINGATDOCVERIFICATION","644ac3b5-1e4c-4f63-97df-c8043f4886df","56c82dda-91a2-4b07-9903-427df602bf38",1644470662134,1645006345520,"MR","MR"
"e7a05b12-f049-4587-ab2b-00033e31328b","78c6844f-0b38-430f-8a01-01e33457afb7","od.rajgangpur","MR/RJG/000181","MR-RJG-2022-02-11-000813","NEW",1644577033922,1140546599000,1645012279214,"APPROVE","APPROVED","78c6844f-0b38-430f-8a01-01e33457afb7","17289a76-a8d4-4804-b182-b2c0da9a0e45",1644577033922,1645012278097,"MR","MR"
"9093be2e-4deb-40fb-bcea-c29da192dcf7","5f82927f-0a13-4b7f-9f01-5d39ad5909cc","od.rajgangpur","MR/RJG/000182","MR-RJG-2022-02-11-000798","NEW",1644520634297,1639247399000,1645012519398,"APPROVE","APPROVED","5f82927f-0a13-4b7f-9f01-5d39ad5909cc","17289a76-a8d4-4804-b182-b2c0da9a0e45",1644520634297,1645012519283,"MR","MR"
"f02d44b7-8efd-4099-bc98-cab90f24ea51","52eb8816-315e-40e3-8013-c59d088238bb","od.binka","MR/BNK/000183","MR-BNK-2022-02-16-000899","NEW",1644997996183,1616264999000,1645012691967,"APPROVE","APPROVED","70577bc5-5d70-4392-b23f-dad33cfc21b1","a714e299-818b-425c-b01e-519b2c35833c",1644997996183,1645012691857,"MR","MR"
"a5f20a57-071f-49df-b783-eb6d46d01de3","2bbc78c7-0d4c-4da5-b020-2ec4ea28dc8f","od.anandapur","MR/AND/000184","MR-AND-2022-02-16-000903","NEW",1645011354485,1056306599000,1645012768948,"APPROVE","APPROVED","2bbc78c7-0d4c-4da5-b020-2ec4ea28dc8f","01e332a2-1d97-4f7e-a795-66b92e7cb993",1645011354485,1645012768822,"MR","MR"
"548858ce-7399-4cca-81f8-826c49ef76c1","2902096e-c0cf-4866-8840-49734dbad446","od.cuttack",NULL,"MR-CTC-2022-02-15-000892","NEW",1644933009987,1579458599000,NULL,"PAY","PENDINGSCHEDULE","2902096e-c0cf-4866-8840-49734dbad446","56c82dda-91a2-4b07-9903-427df602bf38",1644933009987,1645012030605,"MR","MR"
"2549b4e7-f397-4e57-8ebd-95ffdbbf6d53","2061aa79-2bfb-4030-b924-9884a7db2e61","od.cuttack",NULL,"MR-CTC-2022-02-15-000894","NEW",1644937235826,1530901799000,NULL,"PAY","PENDINGSCHEDULE","2061aa79-2bfb-4030-b924-9884a7db2e61","56c82dda-91a2-4b07-9903-427df602bf38",1644937235826,1645013763653,"MR","MR"
"9cf2634e-0cc4-4ebf-94fe-f3ee305935e8","350a9d74-e166-48b3-9ff0-0520bc4441a6","od.rayagada","MR/RYG/000185","MR-RYG-2022-02-16-000906","NEW",1645016076571,1644604199000,1645021894426,"APPROVE","APPROVED","4fed0594-e573-4e9b-95fc-ac9c3083ad5a","1f669234-618d-447a-b73e-f2a39002374f",1645016076571,1645021894305,"MR","MR"
"ce0859e0-95dc-4e94-9e1a-c73f752a36a0","9e63ce71-8204-4258-8cfc-ac4c69c9c00e","od.bhadrak","MR/BDK/000152","MR-BDK-2022-02-10-000793","CORRECTION",1644498328627,1639333799000,1645081078818,"APPLY","DOCVERIFICATION","6e39a265-a8c1-477b-acb3-b9151f66179e","6e39a265-a8c1-477b-acb3-b9151f66179e",1644498328627,1645081078741,"MR","MRCORRECTION"
"c654afff-0823-4603-9e0d-b4523222336c","54cb3025-2a79-4e39-9da9-f24169466670","od.cuttack",NULL,"MR-CTC-2022-02-11-000819","NEW",1644584398805,886789799000,NULL,"PAY","PENDINGSCHEDULE","54cb3025-2a79-4e39-9da9-f24169466670","56c82dda-91a2-4b07-9903-427df602bf38",1644584398805,1644935084107,"MR","MR"
"ebb381f2-9711-4686-bebb-ee0c75531dea","0428b617-174e-4681-b496-c2e23f17f485","od.cuttack",NULL,"MR-CTC-2022-02-17-000917","NEW",1645082228279,1643999399000,NULL,"APPLY","DOCVERIFICATION","0428b617-174e-4681-b496-c2e23f17f485","0428b617-174e-4681-b496-c2e23f17f485",1645082228279,1645090338153,"MR","MR"
"4896c44e-5d67-4c93-91d5-e45371bbace2","c388c456-140a-4a59-824f-f6053867c260","od.belpahar",NULL,"MR-BLP-2022-02-17-000924","NEW",1645089969402,1639333799000,NULL,"APPLY","DOCVERIFICATION","c388c456-140a-4a59-824f-f6053867c260","c388c456-140a-4a59-824f-f6053867c260",1645089969402,1645091404654,"MR","MR"
"4e9de791-7e85-4b0d-8623-1465a7a2e5f0","21acd0c9-9203-40c7-a3f2-22c1b9440b1b","od.jatni",NULL,"MR-JTN-2022-02-17-000929","NEW",1645092566557,1642962599000,NULL,"APPLY","DOCVERIFICATION","21acd0c9-9203-40c7-a3f2-22c1b9440b1b","21acd0c9-9203-40c7-a3f2-22c1b9440b1b",1645092566557,1645093130459,"MR","MR"
"d455e6ac-0662-44af-ab43-680ad8cdcd60","af9a639b-e4f0-4719-b7d9-435d24d1910d","od.bargarh",NULL,"MR-BRG-2022-02-17-000931","NEW",1645094201361,1607365799000,NULL,"APPLY","DOCVERIFICATION","4b865489-aed0-4460-8e2a-921357f5d1dd","4b865489-aed0-4460-8e2a-921357f5d1dd",1645094201361,1645095413425,"MR","MR"
"0f1cf8c5-965b-44c3-a3f5-a54629e742f2","1b012c0a-591c-4a5f-8741-3c3fc94280f1","od.bargarh","MR/BRG/000186","MR-BRG-2022-02-16-000900","NEW",1644999224357,1614796199000,1645095456174,"APPROVE","APPROVED","4b865489-aed0-4460-8e2a-921357f5d1dd","0e51ca11-f41d-43ee-9a85-907554b8ba72",1644999224357,1645095456035,"MR","MR"
"1f566862-37d5-400d-982a-2cb32103e016","1070e035-c811-41b5-92fd-d3979815c73f","od.bhanjanagar","MR/BJN/000187","MR-BJN-2022-02-15-000891","NEW",1644928012856,1369852199000,1645095806567,"APPROVE","APPROVED","b634efc7-2ef4-4609-bf28-fb0fb21afece","6534087c-9489-487e-909b-f081d0ff0121",1644928012856,1645095806447,"MR","MR"
"db20a83d-83a2-4bef-b630-56e6005b1346","bdeed417-b67d-45e8-843d-14b2f4d65330","od.cuttack","MR/CTC/000188","MR-CTC-2022-02-09-000763","NEW",1644392299276,1643048999000,1645096637767,"APPROVE","APPROVED","bdeed417-b67d-45e8-843d-14b2f4d65330","a8e071d4-8bfe-4d33-b8a6-ca296ea22921",1644392299276,1645096637669,"MR","MR"
"fe99b286-299c-46fc-87fb-e00656416770","2a5dbd79-a3e8-43ba-81c0-96e27a09d0f3","od.cuttack","MR/CTC/000189","MR-CTC-2022-02-11-000803","NEW",1644564748029,1620239399000,1645096734355,"APPROVE","APPROVED","2a5dbd79-a3e8-43ba-81c0-96e27a09d0f3","a8e071d4-8bfe-4d33-b8a6-ca296ea22921",1644564748029,1645096734262,"MR","MR"
"3d7c1726-602a-4f87-ab45-fed776621e0a","df80da4b-0db5-474b-b40d-c6f932797623","od.sambalpur",NULL,"MR-SMB-2022-02-15-000895","NEW",1644944346206,1644863399000,NULL,"SCHEDULE","PENDINGAPPROVAL","df80da4b-0db5-474b-b40d-c6f932797623","d7a46f18-b74b-4da8-9a52-0ba1f66ef010",1644944346206,1645096942098,"MR","MR"
"74a99cdb-beb9-4008-b235-4b31586cb821","e62f4fa3-083f-42ee-8ed2-181d6f72085f","od.kantabanji",NULL,"MR-KNB-2022-02-10-000786","NEW",1644489150818,1558463399000,NULL,"PAY","PENDINGSCHEDULE","e62f4fa3-083f-42ee-8ed2-181d6f72085f","d08c4c20-b55e-4fbc-ac32-3c85d6557840",1644489150818,1645097801250,"MR","MR"
"688881f8-f663-4ed5-8d95-897246e05bfe","e765b758-30bb-47e8-a722-e5bd8f3b4955","od.purushottampur","MR/PRS/000190","MR-PRS-2022-02-17-000933","NEW",1645095682530,1556476199000,1645098795344,"APPROVE","APPROVED","d2029a9a-080f-4a5d-8987-78b79d4f0c90","dea4c6a9-4597-4afc-9aa2-3f784887f055",1645095682530,1645098795236,"MR","MR"
"42a9fabd-d7f9-455e-8eca-406ff0dc509d","c388c456-140a-4a59-824f-f6053867c260","od.belpahar",NULL,"MR-BLP-2022-02-16-000913","NEW",1645031493360,1639333799000,NULL,"APPLY","DOCVERIFICATION","c388c456-140a-4a59-824f-f6053867c260","c388c456-140a-4a59-824f-f6053867c260",1645031493360,1645098820701,"MR","MR"
"6d2222b2-398f-4bcb-aa80-648ba29d58dc","21acd0c9-9203-40c7-a3f2-22c1b9440b1b","od.cuttack",NULL,"MR-CTC-2022-02-17-000936","NEW",1645099029272,1642962599000,NULL,"APPLY","DOCVERIFICATION","21acd0c9-9203-40c7-a3f2-22c1b9440b1b","21acd0c9-9203-40c7-a3f2-22c1b9440b1b",1645099029272,1645099248490,"MR","MR"
"f660ea5e-72ae-4ca0-b41d-f83d76603950","5477ff7e-faf5-43e9-a01c-6085b5daac71","od.anandapur","MR/AND/000191","MR-AND-2022-02-11-000824","NEW",1644603352439,1644172199000,1645100771373,"APPROVE","APPROVED","5477ff7e-faf5-43e9-a01c-6085b5daac71","01e332a2-1d97-4f7e-a795-66b92e7cb993",1644603352439,1645100771265,"MR","MR"
"66779814-1b19-4c5a-ba28-3434a55206d0","81f94fd2-de5e-43be-8684-331ae7980cda","od.balangir",NULL,"MR-BLR-2022-02-17-000939","NEW",1645099559856,1644172199000,NULL,"APPLY","DOCVERIFICATION","81f94fd2-de5e-43be-8684-331ae7980cda","81f94fd2-de5e-43be-8684-331ae7980cda",1645099559856,1645100870145,"MR","MR"
